question_number|sentiment|answer|length|cc|vbp|cd|dt|ex|fw|inn|jj|jjr|jjs|ls|md|nn|nns|nnp|nnps|pdt|posss|prp|rb|rbr|rp|to|uh|vb|vbd|vbg|vbn|vbz|wdt|wp|wps|wrb|pos_length|neg_length|pos_acumulado|neg_acumulado|polarity|cant_caracteres
1|Positive|planting shade trees along city walks to reduce temp |9|0|0|0|0|0|0|1|0|0|0|0|0|3|2|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0.0|53
1|Positive|changing roads from black asphalt to something lighter and less heat retaining |12|1|0|0|0|0|0|1|1|1|0|0|0|3|1|0|0|0|0|0|0|1|0|1|0|0|2|0|0|0|0|0|0|0|0|2|0|-0.3333333333333333|-0.16666666666666666|79
1|Negative|tucson for the most part is not walkable  what can be done to encourage less personal auto use while also looking at safety  i am astounded at the number of accidents with pedestrian involvement itâ  s disgraceful |37|0|1|0|2|0|0|6|3|1|1|0|1|11|1|0|0|0|0|0|2|0|0|1|0|2|1|0|2|1|0|1|0|0|1|1|0.5|-0.16666666666666666|0.11111111111111112|215
1|Positive|tree planting, green space, restrict new development that requires new water use|12|0|0|0|0|0|0|0|3|0|0|0|0|6|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|1|0|0|0|2|1|0.2727272727272727|-0.2|0.024242424242424232|80
1|Negative|truly, it seems that vehicle pollution in tucson is a major problem affected the quality of air we breathe on a daily basis |23|0|1|0|3|0|0|4|2|0|0|0|0|7|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|2|0|0|0|0|1|0|0.0625|0|0.03125|124
1|Positive|encouraging and promoting alternative forms of "green" transportation throughout the city, and effectively marketing these alternatives, will help people to reach destinations, without polluting the environment |26|2|0|0|3|0|0|3|2|0|0|0|1|3|4|0|0|0|0|0|1|0|0|1|0|2|4|0|0|0|0|0|0|0|1|1|0.6|-0.2|0.19999999999999998|211
1|Positive|more walkable spaces  completely close some streets to cars  make bicycle and walking spaces the priority over vehicle traffic in many areas |22|1|1|0|2|0|0|2|2|0|0|0|0|5|5|0|0|0|0|0|1|1|0|1|0|1|0|0|0|0|0|0|0|0|3|0|1.1|0|0.3666666666666667|141
1|Positive|support green job industries and training programs through adult education programs and jted cte, community college, and university courses |19|3|0|0|0|0|0|1|2|0|0|0|0|9|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0.1|-0.2|-0.05|140
1|Positive|insulation community or city large scale solar rather than only on rooftops |12|1|0|0|0|0|0|2|2|0|0|0|0|4|1|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0.21428571428571427|0|0.10714285714285714|76
1|Positive|water efficiency programs to save on energy emissions for pumping and pools |12|1|0|0|0|0|0|2|0|0|0|0|0|3|3|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0.0|76
1|Neutral|pretty much everything proposed by project drawdown  drawdown org |9|0|0|0|0|0|0|1|2|0|0|0|0|3|0|0|0|0|0|0|1|0|0|0|0|0|0|0|2|0|0|0|0|0|2|0|0.45|0|0.225|66
1|Positive|fix all the streets and roads and then you can work on other stuff  |14|2|0|0|1|0|0|1|1|0|0|0|1|1|2|0|0|1|0|0|2|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|-0.125|-0.125|68
1|Negative|take care of the parks and recreation areas that you do not maintain  |13|1|1|0|1|0|0|2|0|0|0|0|0|2|2|0|0|0|0|0|1|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0.0|70
1|Negative|stop doing feel good stuff and hire more police to take care of the poor service in tucson  |18|1|0|0|1|0|0|2|2|1|0|0|0|5|0|0|0|0|0|0|0|0|0|1|0|4|1|0|0|0|0|0|0|0|2|1|1.2|-0.4|0.26666666666666666|92
1|Negative|this is where all our money should go, improving tucson s quality of life |14|0|0|0|2|0|0|1|1|0|0|0|1|4|0|0|0|0|0|1|0|0|0|0|0|1|1|0|0|1|0|0|0|1|0|0|0|0|0.0|74
1|Positive|rain water catchment throughout urban landscape, in parks  to use for plant watering , at city buildings  for indoor water use , at golf courses, riverways  |24|0|0|0|0|0|0|6|2|0|0|0|0|10|4|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0.0|157
1|Positive|along major road corridors we could add solar roof tunnels to catch sun and divert rain to catchment sources  |19|1|0|0|0|0|0|1|2|0|0|0|1|5|3|0|0|0|0|0|0|0|0|2|0|3|0|0|0|0|0|0|0|0|1|0|0.0625|0|0.0625|110
1|Positive|control personal home water use allowances  |6|0|0|0|0|0|0|0|1|0|0|0|0|4|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0|44
1|Negative|fine for grass or landscaping water use incl at golf courses  we don t have enough water and need to be aggressive about protecting its usage |26|2|2|0|0|0|0|3|2|0|0|0|0|10|2|0|0|0|0|1|0|0|0|1|0|1|1|0|0|0|0|0|0|0|1|0|0.4166666666666667|0|0.20833333333333334|142
1|Positive|aside from vehicular emissions, heating cooling residences will be a huge opportunity to reduce energy consumption  we need to create strong incentives for people to have energy efficiency work done on existing structures  i think there should be state tax credits available for this work   similar to credits available in other states or at the federal level for electric vehicle purchase or installation of charger infrastructure |66|2|2|0|3|1|0|8|10|0|0|0|2|15|8|0|0|0|0|0|1|0|0|4|0|5|3|0|1|0|0|0|0|0|4|1|1.6333333333333333|-0.125|0.2513888888888889|432
2|Negative|what does your race have to do with climate change |10|0|1|0|0|0|0|1|0|0|0|0|0|3|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0.0|51
2|Positive|i look forward to the sun and heat so i can get a nice tan|15|1|1|0|2|0|0|0|3|0|0|0|1|3|0|0|0|0|0|0|2|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0.6|0|0.6|58
2|Negative|mismanagement of our national forests is a huge cause for the increase of wildfires  |14|0|0|0|2|0|0|3|2|0|0|0|0|3|2|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0.4000000000000001|0|0.4000000000000001|85
2|Negative|we have got to stop wasting water  tucson will be a ghost town if we run out of water  |19|0|2|0|1|0|0|2|0|0|0|0|1|6|0|0|0|0|0|0|1|0|0|1|0|2|0|0|1|0|0|0|0|0|0|0|0|0|0.0|87
2|Positive|let s start with changing our toilet habits to dry composting  or flush toilets with waste water from sink showers  all buildings with water catching gutters and containers to slow water planted areas  |33|2|0|0|1|0|0|4|2|0|0|0|0|7|7|0|0|0|0|1|0|0|0|2|0|4|2|0|1|0|0|0|0|0|1|4|0.6|-0.6000000000000001|-1.1102230246251566e-17|202
2|Negative|get rid of the heat bubble of black tar and asphalt |11|1|0|0|1|0|0|2|2|0|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|-0.16666666666666666|-0.16666666666666666|52
2|Positive|investing in a green infrastructure will result in jobs which will help the economy  |14|0|0|0|2|0|0|2|1|0|0|0|2|2|1|0|0|0|0|0|0|0|0|0|0|2|1|0|0|0|1|0|0|0|0|1|0|-0.2|-0.2|85
2|Positive|more abundant public education on climate change and economic and quality of life co benefits of mitigating and adapting to climate change  more robust public awareness campaigns during extreme heat season  |31|3|0|0|0|0|0|4|7|0|0|0|0|10|2|0|0|0|0|0|0|2|0|1|0|1|1|0|0|0|0|0|0|0|4|1|1.8|-0.125|0.2392857142857143|207
