Answer,Question,Sentiment
Planting shade trees along city walks to reduce temp.,1,Positive
Changing roads from black asphalt to something lighter and less heat retaining.,1,Positive
Tucson for the most part is not walkable. What can be done to encourage less personal auto use while also looking at safety (I am astounded at the number of accidents with pedestrian involvement-it???s disgraceful).,1,Negative
"Tree planting, green space, restrict new development that requires new water use",1,Positive
"Truly, it seems that vehicle pollution in Tucson is a major problem affected the quality of air we breathe on a daily basis.",1,Negative
"Encouraging and promoting alternative forms of ""green"" transportation throughout the city, and effectively marketing these alternatives, will help people to reach destinations, without polluting the environment.",1,Positive
More walkable spaces. Completely close some streets to cars. Make bicycle and walking spaces the priority over vehicle traffic in many areas.,1,Positive
"Support green job industries and training programs through adult education programs and JTED/CTE, Community college, and university courses.",1,Positive
Insulation Community or city large scale solar rather than only on rooftops ,1,Neutral
Water efficiency programs to save on energy emissions for pumping and pools ,1,Positive
Pretty much everything proposed by Project Drawdown (drawdown.org),1,Neutral
Fix all the streets and roads and then you can work on other stuff. ,1,Negative
Take care of the parks and recreation areas that you do not maintain. ,1,Negative
Stop doing feel good stuff and hire more police to take care of the poor service in Tucson. ,1,Negative
"This is where all our money should go, improving Tucson's quality of life.",1,Positive
"rain water catchment throughout urban landscape, in parks (to use for plant watering), at city buildings (for indoor water use), at golf courses, riverways. ",1,Positive
Along major road corridors we could add solar roof tunnels to catch sun and divert rain to catchment sources. ,1,Positive
control personal home water use allowances. ,1,Positive
Fine for grass or landscaping water use incl at golf courses. We don't have enough water and need to be aggressive about protecting its usage.,1,Negative
"Aside from vehicular emissions, heating/cooling residences will be a huge opportunity to reduce energy consumption. We need to create strong incentives for people to have energy efficiency work done on existing structures. I think there should be state tax credits available for this work - similar to credits available in other states or at the federal level for electric vehicle purchase or installation of charger infrastructure.",1,Positive
What does your race have to do with climate change.,2,Negative
I look forward to the sun and heat so I can get a nice tan,2,Positive
Mismanagement of our national forests is a huge cause for the increase of wildfires. ,2,Negative
We have got to stop wasting water. Tucson will be a ghost town if we run out of water. ,2,Negative
Let's start with changing our toilet habits to dry composting. Or flush toilets with waste water from sink/showers. All buildings with water catching gutters and containers to slow water planted areas. ,2,Negative
Get rid of the heat bubble of black tar and asphalt.,2,Negative
Investing in a green infrastructure will result in jobs which will help the economy. ,2,Positive
More abundant public education on climate change and economic and quality of life co-benefits of mitigating and adapting to climate change. More robust public awareness campaigns during extreme heat season. ,2,Positive
"Better drought emergency preparedness???put in mandatory measures at lower drought stages, to better prepare Tucson residents for potential water shortages. ",2,Neutral
Far more extensive public involvement in climate change planning. ,2,Positive
Enhanced city-county cooperation and coordination on climate planning. ,2,Positive
Don???t count on tree planting as a panacea.,2,Negative
What does provide benefits to historically disadvantaged groups mean? Racial equity for the environment? Unclear of how this is implemented or how it would impact any decisions being made.,2,Negative
Need residential solar subsidies and more smaller housing options around 1100-1500 sq feet (not multi-family),2,Neutral
The City needs more open green spaces where trees can grow. Our green space % is awful. ,2,Negative
This greening would reduce the heat island effect. The domino of lowering our cooling energy needs which lowers polluting emissions from power.,2,Positive
"Water is the #1 long term concern, but not due to this. We need a state wide solution. Look to Israel. We need to take Phoenix's waste water, treat it and have farmers irrigate with that instead of the potable water they steal.",2,Neutral
"Have a volunteer base who can help teach these strategies, so they can apply them within the community. Have a volunteer group receiving AZ benefits such as unemployment, be required to learn and implement some of these strategies within our city. ",2,Positive
"Explain why things are being changed, to create buy-in from the community.",2,Neutral
"A resource used is a resource used, no matter who uses it. It is imperative that we are affording the same equities and opportunities to underrepresented groups as to majority groups. In equity can we all tackle climate and resilience challenges in a united and effective front. ",3,Neutral
"In addition, I strongly encourage implementing food waste reduction plans to simultaneously reduce demands on landfills while feeding those in need. ",3,Positive
"Also, I support tree planting/re-greening but must emphasize it be planned in collaboration with ecologists/botanists so that a) appropriate species and b) appropriate localities for growth be maximized.",3,Positive
The city of Tucson must provide support to their legal citizens before supporting programs for ???refugees and illegal immigrants ???,3,Negative
