answer,sentiment,linear_svm,nearest_neighbors,rbf_svm,gaussian_process,decision_tree,random_forest,neural_net,ada_boost,naive_bayes,qda,gradient_boosting,logistic_regression,linear_svm_proba,nearest_neighbors_proba,rbf_svm_proba,gaussian_process_proba,decision_tree_proba,random_forest_proba,neural_net_proba,ada_boost_proba,naive_bayes_proba,qda_proba,gradient_boosting_proba,logistic_regression_proba
work with hoas that require plants to either reduce required number of plants and or promote desert plants that do not use much water ,1,1,1,1,1,1,1,1,1,1,1,1,1,[0.01528323 0.98471677],[0.33333333 0.66666667],[0.48399565 0.51600435],[0.40820874 0.59179126],[0. 1.],[0.174688 0.825312],[0.00994724 0.99005276],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[2.12159027e-05 9.99978784e-01],[0.02372156 0.97627844]
" there be a legal method of insert the unite country and this mayor promote refuge city etc , show her complete neglect for the constitution and american citizen",-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,[0.9866446 0.0133554],[0.33333333 0.66666667],[0.48399565 0.51600435],[0.48442985 0.51557015],[1. 0.],[0.774688 0.225312],[0.99766302 0.00233698],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99977416e-01 2.25837616e-05],[0.98879274 0.01120726]
i would like to see the commuter cars china has that are small battery powered cars promoted ,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98237505 0.01762495],[0.33333333 0.66666667],[0.48399565 0.51600435],[0.46904984 0.53095016],[1. 0.],[0.9 0.1],[0.98211429 0.01788571],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99977416e-01 2.25837616e-05],[0.95768036 0.04231964]
" what do you beggarly by `` promote   volunteer tax bonus again , your language be therefore fabulously fuzzed i see this a more of the same government palaver design to make information technology expression like person be cause something , to make information technology possible to own meet , committee , and document publish , to catch promotion , and to achieve absolutely nothing for the people",-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,[0.99180624 0.00819376],[0.33333333 0.66666667],[0.48399565 0.51600435],[0.49999978 0.50000022],[1. 0.],[0.8 0.2],[9.99465058e-01 5.34942309e-04],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99977416e-01 2.25837616e-05],[0.99522424 0.00477576]
low income neighborhoods should not be the only focus of tree planting and cool roof pavements  this is a city wide proplemsand all areas of tucson need to be implemented with these infrastructures  why would this include only low income areas ,1,1,-1,1,-1,1,1,1,1,1,1,1,1,[0.02024861 0.97975139],[0.66666667 0.33333333],[0.48399565 0.51600435],[0.52434004 0.47565996],[0. 1.],[0.3 0.7],[0.0968089 0.9031911],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[2.12159027e-05 9.99978784e-01],[0.11450459 0.88549541]
"explain why things are being changed, to create buy in from the community  ",1,1,1,1,1,1,1,1,1,1,1,1,1,[0.01558828 0.98441172],[0.33333333 0.66666667],[0.48399565 0.51600435],[0.45216239 0.54783761],[0. 1.],[0.45 0.55],[0.01771591 0.98228409],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[2.12159027e-05 9.99978784e-01],[0.03455475 0.96544525]
"4  buses    fix the shade structures at bus stops  have you looked at those upside down umbrellas at bus stops along the expanded grant road project west of first euclid  whenever i pass them, there is no shade under them  stop installing non functioning architectural wonders by bus stops and put in real shade structures instead ",1,1,1,1,-1,1,1,1,1,1,1,1,1,[0.01424956 0.98575044],[0.33333333 0.66666667],[0.48399565 0.51600435],[0.50009967 0.49990033],[0. 1.],[0.2 0.8],[0.0074548 0.9925452],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[2.12159027e-05 9.99978784e-01],[0.0189394 0.9810606]
stop planting palo verde trees in the city because many people are allergic to them ,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98300424 0.01699576],[1. 0.],[0.48399564 0.51600436],[0.58565988 0.41434012],[1. 0.],[0.818438 0.181562],[0.98314735 0.01685265],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99977416e-01 2.25837616e-05],[0.95602019 0.04397981]
 all build with water system catch gutter and container to dense water planted area get rid of the heating system bubble of black mariner and asphalt,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98480104 0.01519896],[1. 0.],[0.48399565 0.51600435],[0.54093083 0.45906917],[1. 0.],[0.9 0.1],[0.99343121 0.00656879],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99977416e-01 2.25837616e-05],[0.97674946 0.02325054]
"sadly, the whole country is polarized with some people rejecting climate science  the city s effort will need to be nuanced and inclusive  good luck   ",-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98681363 0.01318637],[0.66666667 0.33333333],[0.48399565 0.51600435],[0.48083519 0.51916481],[1. 0.],[0.98148148 0.01851852],[0.99546817 0.00453183],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99977416e-01 2.25837616e-05],[0.98324744 0.01675256]
