answer,sentiment,linear_svm,nearest_neighbors,rbf_svm,gaussian_process,decision_tree,random_forest,neural_net,ada_boost,naive_bayes,qda,gradient_boosting,logistic_regression,linear_svm_proba,nearest_neighbors_proba,rbf_svm_proba,gaussian_process_proba,decision_tree_proba,random_forest_proba,neural_net_proba,ada_boost_proba,naive_bayes_proba,qda_proba,gradient_boosting_proba,logistic_regression_proba
"native landscaping uses much less water, and still provides cooling effects, co2 exchange and shade ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02961709 0.97038291],[0. 1.],[0.34414236 0.65585764],[0.22291578 0.77708422],[0. 1.],[0.02857143 0.97142857],[0.03335681 0.96664319],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.06190137 0.93809863]
i would like to see the commuter cars china has that are small battery powered cars promoted ,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.96962681 0.03037319],[1. 0.],[0.34413199 0.65586801],[0.82662772 0.17337228],[1. 0.],[0.86190476 0.13809524],[0.96987924 0.03012076],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99971983e-01 2.80170609e-05],[0.93341662 0.06658338]
my natural gas bill is consistently the most inexpensive bill i get  why aren t there more questions on affordability ,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,[0.96856325 0.03143675],[0.66666667 0.33333333],[0.34414236 0.65585764],[0.67688154 0.32311846],[1. 0.],[0.82857143 0.17142857],[0.92721133 0.07278867],[1.00000000e+00 2.22044605e-16],[0. 1.],[nan nan],[9.99971983e-01 2.80170609e-05],[0.89435275 0.10564725]
legalize and promote humanure  composting of human waste on site rather than flushing 10 gallons of precious drinking water a day! ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.0125075 0.9874925],[0. 1.],[0.34414259 0.65585741],[0.12049958 0.87950042],[0. 1.],[0.07222222 0.92777778],[0.00561475 0.99438525],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.01363973 0.98636027]
programs that help residents and commercial owners reduce water use ,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97224632 0.02775368],[1. 0.],[0.34110714 0.65889286],[0.86754287 0.13245713],[1. 0.],[0.76190476 0.23809524],[0.97326457 0.02673543],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99971983e-01 2.80170609e-05],[0.93674493 0.06325507]
water is a much bigger problem than this survey really allowed for  please take into account the reality of our overuse of water and the decreasing availability of it there wont be more for us to take eg from the colorado,1,1,-1,1,1,1,1,1,1,1,-1,1,1,[0.02978288 0.97021712],[0.66666667 0.33333333],[0.34414236 0.65585764],[0.30737989 0.69262011],[0. 1.],[0. 1.],[0.01813371 0.98186629],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.04443763 0.95556237]
"hiring and training landscape crews that know how to properly prune native trees and shrubs, maintain native landscape and identify native plants ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.03246377 0.96753623],[0. 1.],[0.34414237 0.65585763],[0.23489372 0.76510628],[0. 1.],[0.13333333 0.86666667],[0.03237739 0.96762261],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.06305164 0.93694836]
i don t see how a massive tree planting program for the city can ever be successful until a solution for this problem is found ,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.9495457 0.0504543],[1. 0.],[0.34414233 0.65585767],[0.79483209 0.20516791],[1. 0.],[0.85972222 0.14027778],[0.95173389 0.04826611],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99971983e-01 2.80170609e-05],[0.89856498 0.10143502]
maybe start with drought adapted native street trees that are watered at city expense  or charge low income residents low water fees if they plant desert trees ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.03610534 0.96389466],[0. 1.],[0.34414236 0.65585764],[0.21707329 0.78292671],[0. 1.],[0.13222222 0.86777778],[0.02450866 0.97549134],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.05616968 0.94383032]
"have more programs like las milpitas that s through the food bank  while there are community gardens around town, they are expensive and not very accessible ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02346462 0.97653538],[0.33333333 0.66666667],[0.34414236 0.65585764],[0.28778655 0.71221345],[0. 1.],[0.33222222 0.66777778],[0.01320761 0.98679239],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.02601632 0.97398368]
