sentiment,answer,dt,jj,md,nn,nns,prp,rb,to,vbz,wdt
Positivo,planting shade trees along city walks to reduce temp  changing roads from black asphalt to something lighter and less heat retaining ,0,1,0,5,3,0,0,2,0,0
Negativo,tucson for the most part is not walkable  what can be done to encourage less personal auto use while also looking at safety  i am astounded at the number of accidents with pedestrian involvement disgraceful ,2,3,1,9,1,0,2,1,1,0
Positivo,"tree planting, green space, restrict new development that requires new water use",0,3,0,6,0,0,0,0,1,1
Positivo,"truly, it seems that vehicle pollution in tucson is a major problem affected the quality of air we breathe on a daily basis ",3,2,0,7,0,0,1,0,2,0
Positivo,"encouraging and promoting alternative forms of ""green"" transportation throughout the city, and effectively marketing these alternatives, will help people to reach destinations, without polluting the environment ",3,2,1,3,4,0,1,1,0,0
Positivo,more walkable spaces  completely close some streets to cars  make bicycle and walking spaces the priority over vehicle traffic in many areas ,2,2,0,5,5,0,1,1,0,0
Positivo,"support green job industries and training programs through adult education programs and jted cte, community college, and university courses ",0,2,0,9,4,0,0,0,0,0
Positivo,insulation community or city large scale solar rather than only on rooftops water efficiency programs to save on energy emissions for pumping and pools pretty much everything proposed by project drawdown  drawdown org ,0,3,0,10,4,0,4,1,0,0
Positivo,fix all the streets and roads and then you can work on other stuff ,1,1,1,1,2,0,2,0,0,0
Positivo,take care of the parks and recreation areas that you do not maintain ,1,0,0,2,2,0,1,0,0,0
Positivo,stop doing feel good stuff and hire more police to take care of the poor service in tucson ,1,2,0,5,0,0,0,1,0,0
Positivo,"this is where all our money should go, improving tucson s quality of life ",2,1,1,4,0,1,0,0,1,0
Positivo,"rain water catchment throughout urban landscape, in parks  to use for plant watering , at city buildings  for indoor water use , at golf courses, riverways ",0,2,0,10,4,0,0,1,0,0
Positivo,along major road corridors we could add solar roof tunnels to catch sun and divert rain to catchment sources  control personal home water use allowances ,0,3,1,8,4,0,0,2,0,0
Negativo,fine for grass or landscaping water use incl at golf courses  we don t have enough water and need to be aggressive about protecting its usage  ,0,2,0,10,2,1,0,1,0,0
Positivo,"aside from vehicular emissions, heating cooling residences will be a huge opportunity to reduce energy consumption  we need to create strong incentives for people to have energy efficiency work done on existing structures ",1,3,1,6,5,0,1,3,0,0
Negativo,i think there should be state tax credits available for this work   similar to credits available in other states or at the federal level for electric vehicle purchase or installation of charger infrastructure ,2,6,1,10,3,0,0,1,0,0
Negativo,what does your race have to do with climate change  i look forward to the sun and heat so i can get a nice tan,2,3,1,6,0,1,2,2,1,0
Negativo,mismanagement of our national forests is a huge cause for the increase of wildfires ,2,2,0,3,2,1,0,0,1,0
Positivo,we have got to stop wasting water  tucson will be a ghost town if we run out of water  let s start with changing our toilet habits to dry composting  or flush toilets with waste water from sink showers ,1,1,1,12,3,1,1,2,0,0
Negativo,all buildings with water catching gutters and containers to slow water planted areas  get rid of the heat bubble of black tar and asphalt ,2,2,0,6,4,0,0,1,0,0
Negativo,investing in a green infrastructure will result in jobs which will help the economy ,2,1,2,2,1,0,0,0,0,1
Positivo,more abundant public education on climate change and economic and quality of life co benefits of mitigating and adapting to climate change ,0,4,0,7,1,0,0,1,0,0
Positivo,"more robust public awareness campaigns during extreme heat season  better drought emergency preparednes, put in mandatory measures at lower drought stages, to better prepare tucson residents for potential water shortages ",0,6,0,7,6,0,0,1,0,0
Positivo,far more extensive public involvement in climate change planning  enhanced city county cooperation and coordination on climate planning  don t count on tree planting as a panacea ,1,3,0,15,0,0,1,0,0,0
Negativo,what does provide benefits to historically disadvantaged groups mean  racial equity for the environment  unclear of how this is implemented or how it would impact any decisions being made ,3,1,1,3,3,0,1,1,2,0
Positivo,need residential solar subsidies and more smaller housing options around 1100 1500 sq feet  not multi family ,0,2,0,4,3,0,1,0,0,0
Positivo,the city needs more open green spaces where trees can grow  our green space % is awful  this greening would reduce the heat island effect  the domino of lowering our cooling energy needs which lowers polluting emissions from power ,4,4,2,10,5,2,0,0,2,1
Positivo,"water is the  1 long term concern, but not due to this  we need a state wide solution  look to israel  we need to take phoenix s waste water, treat it and have farmers irrigate with that instead of the potable water they steal ",5,4,0,11,2,0,2,3,1,0
Positivo,"have a volunteer base who can help teach these strategies, so they can apply them within the community ",3,0,2,3,1,0,0,0,0,0
Positivo,"have a volunteer group receiving az benefits such as unemployment, be required to learn and implement some of these strategies within our city ",3,2,0,4,2,1,0,1,0,0
Positivo,"explain why things are being changed, to create buy in from the community  ",1,0,0,1,1,0,0,1,0,0
Negativo,"a resource used is a resource used, no matter who uses it  it is imperative that we are affording the same equities and opportunities to underrepresented groups as to majority groups ",4,3,0,4,4,0,0,2,3,0
Positivo,"in equity can we all tackle climate and resilience challenges in a united and effective front  in addition, i strongly encourage implementing food waste reduction plans to simultaneously reduce demands on landfills while feeding those in need ",3,3,1,9,4,0,2,1,0,0
Positivo,"also, i support tree planting re greening but must emphasize it be planned in collaboration with ecologists botanists so that a  appropriate species and b  appropriate localities for growth be maximized ",1,4,1,5,4,0,2,0,0,0
Negativo,the city of tucson must provide support to their legal citizens before supporting programs for refugees and illegal immigrants,1,2,1,3,4,1,0,1,0,0
Positivo,"our homelessness issues are more complex than supporting affordable housing  increased mental health public health options for the homeless need to be available  also, public showers, places where people can get clean clothes, counciling, etc ",1,7,1,6,6,1,1,1,0,0
Positivo,"step 1  transparency, honesty and equity in the bid and contracting process for all departments  ",2,0,0,7,1,0,0,0,0,0
Positivo,reverse descrimation is still descrimination and just as wrong as any descriminating!,1,2,0,3,0,0,3,0,1,0
Positivo,"have more programs like las milpitas that s through the food bank  while there are community gardens around town, they are expensive and not very accessible ",1,2,0,4,4,0,2,0,0,1
Positivo,promoting local food production for individual households will improve food security and reduce our community s carbon footprint  ,0,2,1,7,1,1,0,0,0,0
Negativo,"the city should be careful of trying to solve all problems for the disadvantaged  many services are successfully provided by ngos non profits  it is not the city s role to be a social service agency, nor to play robin hood ",5,6,1,7,3,0,2,3,1,0
Positivo,"i support human development, not segregated development  we are all one on this planet and anyone trying to put us against each other is not for human kind but for him or her self  we have to stop the madness of bashing each other and come together for a great tucson future ",6,5,0,11,0,1,3,2,1,0
Positivo,affordability  we need to protect the most vulnerable populations by providing affordable essential services  you cannot just charge people so much for energy  rooftop solar is great  it s also very expensive ,1,6,1,5,3,0,5,1,2,0
Negativo,my natural gas bill is consistently the most inexpensive bill i get  why aren t there more questions on affordability ,1,3,0,5,1,1,2,0,2,0
Positivo,low income neighborhoods should not be the only focus of tree planting and cool roof pavements  this is a city wide proplemsand all areas of tucson need to be implemented with these infrastructures  why would this include only low income areas ,6,6,2,8,5,0,2,1,1,0
Negativo,stop planting palo verde trees in the city because many people are allergic to them ,1,3,0,3,2,0,0,1,0,0
