algorithm,accuracy,sensitivity,specificity,kappa,f1,precision,tp,fp,tn,fn,auc
nearest_neighbors,0.5483870967741935,0.6,0.5,0.09958506224066377,0.5625,0.5294117647058824,9,6,8,8,0.53125
linear_svm,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
rbf_svm,0.4838709677419355,1.0,0.0,0.0,0.6521739130434783,0.4838709677419355,15,0,0,16,0.4375
gaussian_process,0.5161290322580645,0.6,0.4375,0.037267080745341685,0.5454545454545454,0.5,9,6,7,9,0.5583333333333333
decision_tree,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
neural_net,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
ada_boost,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
naive_bayes,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
qda,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
gradient_boosting,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
logistic_regression,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
