algorithm,accuracy,sensitivity,specificity,kappa,f1,precision,tp,fp,tn,fn,auc
nearest_neighbors,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
linear_svm,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
rbf_svm,0.782608695652174,1.0,0.16666666666666666,0.22818791946308714,0.8717948717948718,0.7727272727272727,17,0,1,5,0.0
gaussian_process,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
decision_tree,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
neural_net,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
ada_boost,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
naive_bayes,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
qda,0.2608695652173913,0.0,1.0,0.0,0.0,0.0,0,17,6,0,
gradient_boosting,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
logistic_regression,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
