algorithm,accuracy,sensitivity,specificity,kappa,f1,precision,tp,fp,tn,fn,auc
nearest_neighbors,0.9032258064516129,0.8,1.0,0.8050314465408805,0.888888888888889,1.0,12,3,16,0,0.9875
linear_svm,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
rbf_svm,0.7741935483870968,1.0,0.5625,0.5544147843942506,0.8108108108108109,0.6818181818181818,15,0,9,7,0.9916666666666667
gaussian_process,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
decision_tree,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
neural_net,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
ada_boost,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
naive_bayes,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
qda,0.5161290322580645,0.0,1.0,0.0,0.0,0.0,0,15,16,0,
gradient_boosting,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
logistic_regression,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
