answer,sentiment,linear_svm,nearest_neighbors,rbf_svm,gaussian_process,decision_tree,random_forest,neural_net,ada_boost,naive_bayes,qda,gradient_boosting,logistic_regression,linear_svm_proba,nearest_neighbors_proba,rbf_svm_proba,gaussian_process_proba,decision_tree_proba,random_forest_proba,neural_net_proba,ada_boost_proba,naive_bayes_proba,qda_proba,gradient_boosting_proba,logistic_regression_proba
"native landscaping uses much less water, and still provides cooling effects, co2 exchange and shade ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02114273 0.97885727],[0. 1.],[0.34390302 0.65609698],[0.22154864 0.77845136],[0. 1.],[0. 1.],[0.01629278 0.98370722],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.03606602 0.96393398]
i would like to see the commuter cars china has that are small battery powered cars promoted ,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98321594 0.01678406],[1. 0.],[0.33944381 0.66055619],[0.83181201 0.16818799],[1. 0.],[1. 0.],[0.98129265 0.01870735],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99971983e-01 2.80170609e-05],[0.94623648 0.05376352]
my natural gas bill is consistently the most inexpensive bill i get  why aren t there more questions on affordability ,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98387963 0.01612037],[1. 0.],[0.34383059 0.65616941],[0.7935079 0.2064921],[1. 0.],[1. 0.],[0.98259981 0.01740019],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99971983e-01 2.80170609e-05],[0.94701247 0.05298753]
legalize and promote humanure  composting of human waste on site rather than flushing 10 gallons of precious drinking water a day! ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02028804 0.97971196],[0. 1.],[0.35616012 0.64383988],[0.08996292 0.91003708],[0. 1.],[0. 1.],[0.00998584 0.99001416],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.02485795 0.97514205]
programs that help residents and commercial owners reduce water use ,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.9831302 0.0168698],[0.66666667 0.33333333],[0.34389949 0.65610051],[0.79560616 0.20439384],[1. 0.],[1. 0.],[0.96857755 0.03142245],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99971983e-01 2.80170609e-05],[0.93280092 0.06719908]
water is a much bigger problem than this survey really allowed for  please take into account the reality of our overuse of water and the decreasing availability of it there wont be more for us to take eg from the colorado,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02094359 0.97905641],[0.33333333 0.66666667],[0.34390292 0.65609708],[0.22926529 0.77073471],[0. 1.],[0. 1.],[0.02073459 0.97926541],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.05008794 0.94991206]
"hiring and training landscape crews that know how to properly prune native trees and shrubs, maintain native landscape and identify native plants ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02110186 0.97889814],[0. 1.],[0.34390902 0.65609098],[0.20714398 0.79285602],[0. 1.],[0. 1.],[0.01690595 0.98309405],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.03902944 0.96097056]
i don t see how a massive tree planting program for the city can ever be successful until a solution for this problem is found ,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98297051 0.01702949],[0.66666667 0.33333333],[0.34383077 0.65616923],[0.7905749 0.2094251],[1. 0.],[1. 0.],[0.96660588 0.03339412],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99971983e-01 2.80170609e-05],[0.92551463 0.07448537]
maybe start with drought adapted native street trees that are watered at city expense  or charge low income residents low water fees if they plant desert trees ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02033814 0.97966186],[0. 1.],[0.34637037 0.65362963],[0.16358951 0.83641049],[0. 1.],[0. 1.],[0.01017984 0.98982016],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.02661231 0.97338769]
"have more programs like las milpitas that s through the food bank  while there are community gardens around town, they are expensive and not very accessible ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02023155 0.97976845],[0. 1.],[0.34422604 0.65577396],[0.17168429 0.82831571],[0. 1.],[0. 1.],[0.00895918 0.99104082],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.02570831 0.97429169]
