answer,sentiment,linear_svm,nearest_neighbors,rbf_svm,gaussian_process,decision_tree,random_forest,neural_net,ada_boost,naive_bayes,qda,gradient_boosting,logistic_regression,linear_svm_proba,nearest_neighbors_proba,rbf_svm_proba,gaussian_process_proba,decision_tree_proba,random_forest_proba,neural_net_proba,ada_boost_proba,naive_bayes_proba,qda_proba,gradient_boosting_proba,logistic_regression_proba
work with hoas that require plants to either reduce required number of plants and or promote desert plants that do not use much water ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01991464 0.98008536],[0. 1.],[0.0111864 0.9888136],[0.08565564 0.91434436],[0. 1.],[0. 1.],[0.02046209 0.97953791],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.0406805 0.9593195]
" there be a legal method of insert the unite country and this mayor promote refuge city etc , show her complete neglect for the constitution and american citizen",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97830432 0.02169568],[1. 0.],[0.99646633 0.00353367],[0.8989033 0.1010967],[1. 0.],[1. 0.],[0.99111277 0.00888723],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.97816912 0.02183088]
i would like to see the commuter cars china has that are small battery powered cars promoted ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97829342 0.02170658],[1. 0.],[0.9968174 0.0031826],[0.89699621 0.10300379],[1. 0.],[1. 0.],[0.98622295 0.01377705],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.96294798 0.03705202]
" what do you beggarly by `` promote   volunteer tax bonus again , your language be therefore fabulously fuzzed i see this a more of the same government palaver design to make information technology expression like person be cause something , to make information technology possible to own meet , committee , and document publish , to catch promotion , and to achieve absolutely nothing for the people",-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.9783482 0.0216518],[1. 0.],[0.46312322 0.53687678],[0.76134793 0.23865207],[1. 0.],[1. 0.],[0.99566873 0.00433127],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.99331339 0.00668661]
low income neighborhoods should not be the only focus of tree planting and cool roof pavements  this is a city wide proplemsand all areas of tucson need to be implemented with these infrastructures  why would this include only low income areas ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01991903 0.98008097],[0. 1.],[0.32536475 0.67463525],[0.13892174 0.86107826],[0. 1.],[0. 1.],[0.02031671 0.97968329],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.03599156 0.96400844]
"explain why things are being changed, to create buy in from the community  ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01989167 0.98010833],[0. 1.],[0.11046558 0.88953442],[0.10197331 0.89802669],[0. 1.],[0. 1.],[0.01365773 0.98634227],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.03018371 0.96981629]
"4  buses    fix the shade structures at bus stops  have you looked at those upside down umbrellas at bus stops along the expanded grant road project west of first euclid  whenever i pass them, there is no shade under them  stop installing non functioning architectural wonders by bus stops and put in real shade structures instead ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01988472 0.98011528],[0. 1.],[0.46312085 0.53687915],[0.23883236 0.76116764],[0. 1.],[0. 1.],[0.0050805 0.9949195],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.00973551 0.99026449]
stop planting palo verde trees in the city because many people are allergic to them ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97828715 0.02171285],[1. 0.],[0.86758227 0.13241773],[0.90483205 0.09516795],[1. 0.],[1. 0.],[0.9844137 0.0155863],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.95558774 0.04441226]
 all build with water system catch gutter and container to dense water planted area get rid of the heating system bubble of black mariner and asphalt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97828243 0.02171757],[1. 0.],[0.83831703 0.16168297],[0.89941847 0.10058153],[1. 0.],[1. 0.],[0.98856102 0.01143898],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.97005426 0.02994574]
"sadly, the whole country is polarized with some people rejecting climate science  the city s effort will need to be nuanced and inclusive  good luck   ",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97827261 0.02172739],[1. 0.],[0.64820725 0.35179275],[0.89578767 0.10421233],[1. 0.],[1. 0.],[0.98464589 0.01535411],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.95753122 0.04246878]
