answer,sentiment,linear_svm,nearest_neighbors,rbf_svm,gaussian_process,decision_tree,random_forest,neural_net,ada_boost,naive_bayes,qda,gradient_boosting,logistic_regression,linear_svm_proba,nearest_neighbors_proba,rbf_svm_proba,gaussian_process_proba,decision_tree_proba,random_forest_proba,neural_net_proba,ada_boost_proba,naive_bayes_proba,qda_proba,gradient_boosting_proba,logistic_regression_proba
"native landscaping uses much less water, and still provides cooling effects, co2 exchange and shade ",1,1,1,1,1,1,1,1,1,1,1,1,1,[0.02315087 0.97684913],[0. 1.],[0.34414208 0.65585792],[0.41359704 0.58640296],[0. 1.],[0.13333333 0.86666667],[0.03583634 0.96416366],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[1.54489359e-05 9.99984551e-01],[0.05740597 0.94259403]
i would like to see the commuter cars china has that are small battery powered cars promoted ,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97209617 0.02790383],[0.33333333 0.66666667],[0.34414208 0.65585792],[0.49834697 0.50165303],[1. 0.],[0.92083333 0.07916667],[0.9728514 0.0271486],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99971983e-01 2.80170609e-05],[0.93856668 0.06143332]
my natural gas bill is consistently the most inexpensive bill i get  why aren t there more questions on affordability ,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,[0.97844639 0.02155361],[0.66666667 0.33333333],[0.34414208 0.65585792],[0.48956933 0.51043067],[1. 0.],[0.93 0.07],[0.97625708 0.02374292],[1.00000000e+00 2.22044605e-16],[1. 0.],[0. 1.],[9.99971983e-01 2.80170609e-05],[0.95734338 0.04265662]
legalize and promote humanure  composting of human waste on site rather than flushing 10 gallons of precious drinking water a day! ,1,1,1,1,1,1,1,1,1,1,1,1,1,[0.01215681 0.98784319],[0. 1.],[0.34414208 0.65585792],[0.43468472 0.56531528],[0. 1.],[0.08823529 0.91176471],[0.00566299 0.99433701],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[1.54489359e-05 9.99984551e-01],[0.01686584 0.98313416]
programs that help residents and commercial owners reduce water use ,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,[0.96935792 0.03064208],[0. 1.],[0.34414208 0.65585792],[0.42423436 0.57576564],[1. 0.],[0.82857143 0.17142857],[0.96900515 0.03099485],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99971983e-01 2.80170609e-05],[0.93091295 0.06908705]
water is a much bigger problem than this survey really allowed for  please take into account the reality of our overuse of water and the decreasing availability of it there wont be more for us to take eg from the colorado,1,1,-1,1,-1,1,1,1,1,1,1,1,1,[0.01932929 0.98067071],[0.66666667 0.33333333],[0.34414208 0.65585792],[0.51302547 0.48697453],[0. 1.],[0.2 0.8],[0.01181814 0.98818186],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[1.54489359e-05 9.99984551e-01],[0.03489971 0.96510029]
"hiring and training landscape crews that know how to properly prune native trees and shrubs, maintain native landscape and identify native plants ",1,1,1,1,1,1,1,1,1,1,1,1,1,[0.01675997 0.98324003],[0. 1.],[0.34414208 0.65585792],[0.43254253 0.56745747],[0. 1.],[0.12857143 0.87142857],[0.02394321 0.97605679],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[1.54489359e-05 9.99984551e-01],[0.04052428 0.95947572]
i don t see how a massive tree planting program for the city can ever be successful until a solution for this problem is found ,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,[0.9597045 0.0402955],[0.33333333 0.66666667],[0.34414208 0.65585792],[0.45934219 0.54065781],[1. 0.],[0.85857143 0.14142857],[0.94183393 0.05816607],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99971983e-01 2.80170609e-05],[0.911649 0.088351]
maybe start with drought adapted native street trees that are watered at city expense  or charge low income residents low water fees if they plant desert trees ,1,1,1,1,1,1,1,1,1,1,1,1,1,[0.01883769 0.98116231],[0.33333333 0.66666667],[0.34414208 0.65585792],[0.47048277 0.52951723],[0. 1.],[0.02857143 0.97142857],[0.01582729 0.98417271],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[1.54489359e-05 9.99984551e-01],[0.02988424 0.97011576]
"have more programs like las milpitas that s through the food bank  while there are community gardens around town, they are expensive and not very accessible ",1,1,1,1,1,1,1,1,1,1,1,1,1,[0.01796778 0.98203222],[0.33333333 0.66666667],[0.34414208 0.65585792],[0.49317034 0.50682966],[0. 1.],[0.3175 0.6825],[0.01838926 0.98161074],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[1.54489359e-05 9.99984551e-01],[0.04045104 0.95954896]
promoting local food production for individual households will improve food security and reduce our community s carbon footprint  ,1,1,1,1,1,1,1,1,1,1,1,1,1,[0.01847637 0.98152363],[0.33333333 0.66666667],[0.34414208 0.65585792],[0.44769157 0.55230843],[0. 1.],[0.2 0.8],[0.01648433 0.98351567],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[1.54489359e-05 9.99984551e-01],[0.03242666 0.96757334]
"explain why things are being changed, to create buy in from the community  ",1,1,1,1,1,1,1,1,1,1,1,1,1,[0.01713158 0.98286842],[0. 1.],[0.34414208 0.65585792],[0.45536623 0.54463377],[0. 1.],[0.06190476 0.93809524],[0.01905718 0.98094282],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[1.54489359e-05 9.99984551e-01],[0.04150817 0.95849183]
"i already have solar panels, i have several citrus trees and many rose bushes  i do what i can",1,1,1,1,1,1,1,1,1,1,1,1,1,[0.0321894 0.9678106],[0.33333333 0.66666667],[0.34414208 0.65585792],[0.49956215 0.50043785],[0. 1.],[0.35857143 0.64142857],[0.04895778 0.95104222],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[1.54489359e-05 9.99984551e-01],[0.07050207 0.92949793]
the city needs more open green spaces where trees can grow  our green space % is awful  this greening would reduce the heat island effect  the domino of lowering our cooling energy needs which lowers polluting emissions from power ,1,1,-1,1,1,1,1,1,1,1,1,1,1,[0.02143054 0.97856946],[0.66666667 0.33333333],[0.34414208 0.65585792],[0.49551574 0.50448426],[0. 1.],[0.08823529 0.91176471],[0.01000784 0.98999216],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[1.54489359e-05 9.99984551e-01],[0.03136242 0.96863758]
reverse descrimation is still descrimination and just as wrong as any descriminating!,1,1,-1,1,-1,1,1,1,1,1,1,1,1,[0.01559126 0.98440874],[1. 0.],[0.34414208 0.65585792],[0.56086161 0.43913839],[0. 1.],[0.23333333 0.76666667],[0.02018044 0.97981956],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[1.54489359e-05 9.99984551e-01],[0.03769232 0.96230768]
no grass orpine trees,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97200008 0.02799992],[0.66666667 0.33333333],[0.34414208 0.65585792],[0.46135428 0.53864572],[1. 0.],[0.93333333 0.06666667],[0.96975317 0.03024683],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99971983e-01 2.80170609e-05],[0.93957672 0.06042328]
stop doing feel good stuff and hire more police to take care of the poor service in tucson ,1,1,1,1,-1,1,1,1,1,1,1,1,1,[0.01432433 0.98567567],[0.33333333 0.66666667],[0.34414208 0.65585792],[0.51335268 0.48664732],[0. 1.],[0.2 0.8],[0.00861914 0.99138086],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[1.54489359e-05 9.99984551e-01],[0.02624534 0.97375466]
"tree planting, green space, restrict new development that requires new water use",1,1,-1,1,-1,1,1,1,1,1,1,1,1,[0.0202663 0.9797337],[0.66666667 0.33333333],[0.34414208 0.65585792],[0.5319608 0.4680392],[0. 1.],[0.2 0.8],[0.02411851 0.97588149],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[1.54489359e-05 9.99984551e-01],[0.0478931 0.9521069]
gratitude for the survey and the efforts of mayor and council ,1,1,1,1,1,1,1,1,1,1,1,1,1,[0.02236678 0.97763322],[0. 1.],[0.34414208 0.65585792],[0.45693343 0.54306657],[0. 1.],[0.03333333 0.96666667],[0.03624251 0.96375749],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[1.54489359e-05 9.99984551e-01],[0.05968089 0.94031911]
thank you for your progressive policies  this is one of the big reasons why i decided to move my family to tucson ,1,1,1,1,1,1,1,1,1,1,1,1,1,[0.02740711 0.97259289],[0.33333333 0.66666667],[0.34414208 0.65585792],[0.48035173 0.51964827],[0. 1.],[0.03333333 0.96666667],[0.02607725 0.97392275],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[1.54489359e-05 9.99984551e-01],[0.05576363 0.94423637]
work with hoas that require plants to either reduce required number of plants and or promote desert plants that do not use much water ,1,1,1,1,1,1,1,1,1,1,1,1,1,[0.01563981 0.98436019],[0.33333333 0.66666667],[0.34414208 0.65585792],[0.43856699 0.56143301],[0. 1.],[0.22857143 0.77142857],[0.01729772 0.98270228],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[1.54489359e-05 9.99984551e-01],[0.035859 0.964141]
we have got to stop wasting water  tucson will be a ghost town if we run out of water  let s start with changing our toilet habits to dry composting  or flush toilets with waste water from sink showers ,1,1,-1,1,-1,1,1,1,1,1,1,1,1,[0.01522437 0.98477563],[1. 0.],[0.34414208 0.65585792],[0.51524626 0.48475374],[0. 1.],[0.1 0.9],[0.00472512 0.99527488],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[1.54489359e-05 9.99984551e-01],[0.0148946 0.9851054]
"common sense is hard to find  reuse phoenix waste water, plant trees, harvest sun and rain, electrify bus routes  no batteries  don t put on a super hero cape and roll out disastrous policies in the name of the environment ",-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,[0.97752376 0.02247624],[0.66666667 0.33333333],[0.34414208 0.65585792],[0.52084337 0.47915663],[1. 0.],[0.7875 0.2125],[0.96674655 0.03325345],[1.00000000e+00 2.22044605e-16],[1. 0.],[0. 1.],[9.99971983e-01 2.80170609e-05],[0.9263056 0.0736944]
