answer,sentiment,linear_svm,nearest_neighbors,rbf_svm,gaussian_process,decision_tree,random_forest,neural_net,ada_boost,naive_bayes,qda,gradient_boosting,logistic_regression,linear_svm_proba,nearest_neighbors_proba,rbf_svm_proba,gaussian_process_proba,decision_tree_proba,random_forest_proba,neural_net_proba,ada_boost_proba,naive_bayes_proba,qda_proba,gradient_boosting_proba,logistic_regression_proba
work with hoas that require plants to either reduce required number of plants and or promote desert plants that do not use much water ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01953732 0.98046268],[0.33333333 0.66666667],[0.48509921 0.51490079],[0.30841135 0.69158865],[0. 1.],[0. 1.],[0.0286647 0.9713353],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.04365844 0.95634156]
" there be a legal method of insert the unite country and this mayor promote refuge city etc , show her complete neglect for the constitution and american citizen",-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98571626 0.01428374],[1. 0.],[0.48509921 0.51490079],[0.90714038 0.09285962],[1. 0.],[1. 0.],[0.99474921 0.00525079],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.98583157 0.01416843]
i would like to see the commuter cars china has that are small battery powered cars promoted ,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.9828036 0.0171964],[1. 0.],[0.48509906 0.51490094],[0.83119545 0.16880455],[1. 0.],[0.9 0.1],[0.98299322 0.01700678],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.96584917 0.03415083]
" what do you beggarly by `` promote   volunteer tax bonus again , your language be therefore fabulously fuzzed i see this a more of the same government palaver design to make information technology expression like person be cause something , to make information technology possible to own meet , committee , and document publish , to catch promotion , and to achieve absolutely nothing for the people",-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.99008717 0.00991283],[1. 0.],[0.48509921 0.51490079],[0.7728587 0.2271413],[1. 0.],[1. 0.],[0.99486092 0.00513908],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.99015915 0.00984085]
low income neighborhoods should not be the only focus of tree planting and cool roof pavements  this is a city wide proplemsand all areas of tucson need to be implemented with these infrastructures  why would this include only low income areas ,1,1,-1,1,1,1,1,1,1,1,-1,1,1,[0.0227888 0.9772112],[0.66666667 0.33333333],[0.48509921 0.51490079],[0.26185967 0.73814033],[0. 1.],[0. 1.],[0.06375429 0.93624571],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.07186557 0.92813443]
"explain why things are being changed, to create buy in from the community  ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01619021 0.98380979],[0. 1.],[0.48509953 0.51490047],[0.13327153 0.86672847],[0. 1.],[0.1 0.9],[0.0123192 0.9876808],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.03324861 0.96675139]
"4  buses    fix the shade structures at bus stops  have you looked at those upside down umbrellas at bus stops along the expanded grant road project west of first euclid  whenever i pass them, there is no shade under them  stop installing non functioning architectural wonders by bus stops and put in real shade structures instead ",1,1,-1,1,1,1,1,1,1,1,-1,1,1,[0.01857099 0.98142901],[0.66666667 0.33333333],[0.48509921 0.51490079],[0.32961807 0.67038193],[0. 1.],[0. 1.],[0.03747488 0.96252512],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.03880025 0.96119975]
stop planting palo verde trees in the city because many people are allergic to them ,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98164868 0.01835132],[1. 0.],[0.48509729 0.51490271],[0.89954114 0.10045886],[1. 0.],[1. 0.],[0.98533827 0.01466173],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.96284767 0.03715233]
 all build with water system catch gutter and container to dense water planted area get rid of the heating system bubble of black mariner and asphalt,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98263649 0.01736351],[1. 0.],[0.48509918 0.51490082],[0.88855112 0.11144888],[1. 0.],[1. 0.],[0.99085487 0.00914513],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.97719535 0.02280465]
"sadly, the whole country is polarized with some people rejecting climate science  the city s effort will need to be nuanced and inclusive  good luck   ",-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98186567 0.01813433],[1. 0.],[0.48509888 0.51490112],[0.84044109 0.15955891],[1. 0.],[0.9 0.1],[0.98497325 0.01502675],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.96779183 0.03220817]
