sentiment,answer,length,cc,vbp,cd,dt,ex,fw,inn,jj,jjr,jjs,md,nn,nns,pdt,prp,rb,rbr,rp,to,vb,vbd,vbn,vbz,wdt,wp,wrb,pos_length,neg_length,pos_acumulado,neg_acumulado,polarity,cant_caracteres
Positivo,planting shade trees along city walks to reduce temp  changing roads from black asphalt to something lighter and less heat retaining ,21,1,0,0,0,0,0,2,1,1,0,0,5,3,0,0,0,1,1,2,1,3,0,0,0,0,0,0,2,0.0,-0.3333333333333333,-0.16666666666666666,133
Negativo,tucson for the most part is not walkable  what can be done to encourage less personal auto use while also looking at safety  i am astounded at the number of accidents with pedestrian involvement disgraceful ,35,0,1,0,2,0,0,6,3,1,1,1,9,1,0,0,2,0,0,1,2,1,2,1,0,1,0,1,1,0.5,-0.16666666666666666,0.11111111111111112,208
Positivo,"tree planting, green space, restrict new development that requires new water use",12,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,0.2727272727272727,-0.2,0.024242424242424232,80
Positivo,"truly, it seems that vehicle pollution in tucson is a major problem affected the quality of air we breathe on a daily basis ",23,0,1,0,3,0,0,4,2,0,0,0,7,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0.0625,0.0,0.03125,124
Positivo,"encouraging and promoting alternative forms of ""green"" transportation throughout the city, and effectively marketing these alternatives, will help people to reach destinations, without polluting the environment ",26,2,0,0,3,0,0,3,2,0,0,1,3,4,0,0,1,0,0,1,2,4,0,0,0,0,0,1,1,0.6,-0.2,0.19999999999999998,211
Positivo,more walkable spaces  completely close some streets to cars  make bicycle and walking spaces the priority over vehicle traffic in many areas ,22,1,1,0,2,0,0,2,2,0,0,0,5,5,0,0,1,1,0,1,1,0,0,0,0,0,0,3,0,1.1,0.0,0.3666666666666667,141
Positivo,"support green job industries and training programs through adult education programs and jted cte, community college, and university courses ",19,3,0,0,0,0,0,1,2,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1,-0.2,-0.05,140
Positivo,insulation community or city large scale solar rather than only on rooftops water efficiency programs to save on energy emissions for pumping and pools pretty much everything proposed by project drawdown  drawdown org ,33,2,0,0,0,0,0,5,3,0,0,0,10,4,0,0,4,0,0,1,1,1,2,0,0,0,0,3,0,0.6642857142857144,0.0,0.1660714285714286,218
Positivo,fix all the streets and roads and then you can work on other stuff ,14,2,0,0,1,0,0,1,1,0,0,1,1,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0.0,-0.125,-0.125,67
Positivo,take care of the parks and recreation areas that you do not maintain ,13,1,1,0,1,0,0,2,0,0,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,69
Positivo,stop doing feel good stuff and hire more police to take care of the poor service in tucson ,18,1,0,0,1,0,0,2,2,1,0,0,5,0,0,0,0,0,0,1,4,1,0,0,0,0,0,2,1,1.2,-0.4,0.26666666666666666,91
Positivo,"this is where all our money should go, improving tucson s quality of life ",14,0,0,0,2,0,0,1,1,0,0,1,4,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0.0,0.0,0.0,74
Positivo,"rain water catchment throughout urban landscape, in parks  to use for plant watering , at city buildings  for indoor water use , at golf courses, riverways ",24,0,0,0,0,0,0,6,2,0,0,0,10,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,156
Positivo,along major road corridors we could add solar roof tunnels to catch sun and divert rain to catchment sources  control personal home water use allowances ,25,1,1,0,0,0,0,1,3,0,0,1,8,4,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0.0625,0.0,0.03125,153
Negativo,fine for grass or landscaping water use incl at golf courses  we don t have enough water and need to be aggressive about protecting its usage  ,26,2,2,0,0,0,0,3,2,0,0,0,10,2,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0.4166666666666667,0.0,0.20833333333333334,143
