algorithm,accuracy,sensitivity,specificity,kappa,f1,precision,tp,fp,tn,fn,auc
nearest_neighbors,0.8709677419354839,0.7333333333333333,1.0,0.7394957983193278,0.846153846153846,1.0,11,4,16,0,0.9416666666666667
linear_svm,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
rbf_svm,0.4838709677419355,1.0,0.0,0.0,0.6521739130434783,0.4838709677419355,15,0,0,16,0.9
gaussian_process,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
decision_tree,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
neural_net,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
ada_boost,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
naive_bayes,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
qda,0.5161290322580645,0.0,1.0,0.0,0.0,0.0,0,15,16,0,
gradient_boosting,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
logistic_regression,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
