algorithm,accuracy,sensitivity,specificity,kappa,f1,precision,tp,fp,tn,fn,auc
nearest_neighbors,0.9565217391304348,0.9411764705882353,1.0,0.8930232558139535,0.9696969696969697,1.0,16,1,6,0,0.9950980392156863
linear_svm,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
rbf_svm,0.8260869565217391,1.0,0.3333333333333333,0.42500000000000004,0.8947368421052632,0.8095238095238095,17,0,2,4,0.9362745098039215
gaussian_process,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
decision_tree,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
neural_net,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
ada_boost,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
naive_bayes,0.9130434782608695,1.0,0.6666666666666666,0.7472527472527473,0.9444444444444444,0.8947368421052632,17,0,4,2,0.8333333333333334
qda,0.2608695652173913,0.0,1.0,0.0,0.0,0.0,0,17,6,0,
gradient_boosting,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
logistic_regression,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
