algorithm,accuracy,sensitivity,specificity,kappa,f1,precision,tp,fp,tn,fn,auc
nearest_neighbors,0.6521739130434783,0.7058823529411765,0.5,0.18584070796460173,0.7500000000000001,0.8,12,5,3,3,0.5882352941176471
linear_svm,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
rbf_svm,0.7391304347826086,1.0,0.0,0.0,0.85,0.7391304347826086,17,0,0,6,0.5
gaussian_process,0.5652173913043478,0.7058823529411765,0.16666666666666666,-0.12745098039215685,0.7058823529411765,0.7058823529411765,12,5,1,5,0.4901960784313725
decision_tree,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
neural_net,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
ada_boost,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
naive_bayes,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
qda,0.9130434782608695,1.0,0.6666666666666666,0.7472527472527473,0.9444444444444444,0.8947368421052632,17,0,4,2,0.8333333333333334
gradient_boosting,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
logistic_regression,1.0,1.0,1.0,1.0,1.0,1.0,17,0,6,0,1.0
