algorithm,accuracy,sensitivity,specificity,kappa,f1,precision,tp,fp,tn,fn,auc
nearest_neighbors,0.8064516129032258,0.6,1.0,0.6075949367088607,0.7499999999999999,1.0,9,6,16,0,0.9875
linear_svm,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
rbf_svm,0.4838709677419355,1.0,0.0,0.0,0.6521739130434783,0.4838709677419355,15,0,0,16,0.21875
gaussian_process,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
decision_tree,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
neural_net,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
ada_boost,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
naive_bayes,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
qda,0.5161290322580645,0.0,1.0,0.0,0.0,0.0,0,15,16,0,
gradient_boosting,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
logistic_regression,1.0,1.0,1.0,1.0,1.0,1.0,15,0,16,0,1.0
